Actual, Estimate
40963, 40962
3211, 3223
40970, 40969
3226, 3230
17808388, 20951041
4931586, 6046720
20430454807, 21514682368
2620391500, 2820669440
32265732099, 32246857728
3192913923, 3171942400
176144001, 176120000
32352001, 31208000
160056001, 160044000
16260001, 15212000
10775166977, 10765729792
1115684865, 1081081856
23069744, 20972590
7603276, 2622602
23068697, 20971540
2823169, 2066432
737042970, 996004001
189140961, 149640120
13958643743, 11811160093
2139095041, 1650458624
